User,Tweet,Date,Source,Profile Photo
i2depp,RT @Aguiarthur: Falta muito pouco! #BBB22 https://t.co/ghzcelv4cY,Thu Jan 20 03:01:13 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1481435603262656517/UrUZW77p_normal.jpg
ibbbrasil,@Aguiarthur Adm segue eu e o @citeibrothers não somos fãs ANTIGOS mas estamos ansiosos pela entrada do Arthur na ca… https://t.co/9m255ECHZG,Thu Jan 20 03:01:12 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483885710692294657/ploDs6f0_normal.jpg
jackcocochanel,@Aguiarthur Adm me segue pfvr ✨❤,Thu Jan 20 03:01:11 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483275166411022340/tIR963rw_normal.jpg
RUAN48196399,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 03:01:09 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
vinimeneses7,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 03:01:07 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1315823652416434176/Hu7V24iz_normal.jpg
ibbbrasil,@Aguiarthur Adm segue eu e o @citeibrothers não somos fãs ANTIGOS mas estamos ansiosos pela entrada do Arthur na ca… https://t.co/WegQEzx6rj,Thu Jan 20 03:01:06 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483885710692294657/ploDs6f0_normal.jpg
WeakpointRbr,"@Aguiarthur Ta vindo aí, adm 🗣💛",Thu Jan 20 03:01:05 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483195563545927686/huEbkKRW_normal.jpg
matozzo_p,@Aguiarthur Vai fiho faz seu nome 💓,Thu Jan 20 03:01:04 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1478074553398181893/a2LYZj7I_normal.jpg
jackcocochanel,@Aguiarthur Me segue adm,Thu Jan 20 03:01:03 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483275166411022340/tIR963rw_normal.jpg
centralarthurof,RT @Aguiarthur: Falta muito pouco! #BBB22 https://t.co/ghzcelv4cY,Thu Jan 20 03:01:00 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1393705764150185984/ribma30d_normal.jpg
Ferrari_kerol,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 03:00:59 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1476987338769276933/pqe0EeKh_normal.jpg
DeOlhoRealitys,"#BBB22
Participante do Camarote e ex BBB que mais se aproxima de sua personalidade
@Aguiarthur @guinapolitano BBB20… https://t.co/bGtYRB4BMV",Thu Jan 20 03:00:57 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482790674147774466/dzhfB8Ld_normal.jpg
jessypodo,@Aguiarthur Tomara que não por muito tempo,Thu Jan 20 03:00:54 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1237472608377016323/AuTBOLxa_normal.jpg
delcioneto_,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 03:00:51 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1471510465327026180/1xzXZVlj_normal.jpg
eunavarini,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 03:00:44 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1383274520509706241/QnYt9HKa_normal.jpg
jrmuhll,RT @Aguiarthur: Falta muito pouco! #BBB22 https://t.co/ghzcelv4cY,Thu Jan 20 03:00:37 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1440778859918417926/QXeu7Gpm_normal.jpg
leahenriv,Na espera do Arthur Aguiar  tadinho ķkkk #BBB22 vai dar tudo certo!!,Thu Jan 20 03:00:36 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1474166056612732932/j2BDLwcL_normal.jpg
i2depp,"@Aguiarthur adm de qm vc acha q o arthur vai bater mais a vibe?
https://t.co/BWGJEYPnso",Thu Jan 20 03:00:36 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1481435603262656517/UrUZW77p_normal.jpg
ibbbrasil,@Aguiarthur Adm segue eu e o @citeibrothers não somos fãs ANTIGOS mas estamos ansiosos pela entrada do Arthur na ca… https://t.co/6KVzFY90Ju,Thu Jan 20 03:00:34 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483885710692294657/ploDs6f0_normal.jpg
jackcocochanel,"@Aguiarthur Eu te imploro adm, me segue!",Thu Jan 20 03:00:33 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483275166411022340/tIR963rw_normal.jpg
ibbbrasil,@Aguiarthur Adm segue eu e o @citeibrothers não somos fãs ANTIGOS mas estamos ansiosos pela entrada do Arthur na ca… https://t.co/Dtir6txl4q,Thu Jan 20 03:00:29 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483885710692294657/ploDs6f0_normal.jpg
_gabisfc,quando o Arthur Aguiar entrar acaba o #BBB22 e começa o: https://t.co/xPkjGBSLgl,Thu Jan 20 03:00:28 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1477462860389392386/WfEyV9s0_normal.jpg
ibbbrasil,@Aguiarthur Adm segue eu e o @citeibrothers não somos fãs ANTIGOS mas estamos ansiosos pela entrada do Arthur na ca… https://t.co/3puMkh9P2D,Thu Jan 20 03:00:24 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483885710692294657/ploDs6f0_normal.jpg
jackcocochanel,@Aguiarthur Meu follow adm porfavor,Thu Jan 20 03:00:23 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483275166411022340/tIR963rw_normal.jpg
