User,Tweet,Date,Source,Profile Photo
gouveiachriba,RT @Aguiarthur: ELE TÁ VINDO AÍ!!!!! #BBB22 https://t.co/wzNlJPd2re,Thu Jan 20 01:17:41 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483554035542204421/S3eyO9Xq_normal.jpg
muziio_,RT @NazareAmarga: O Arthur Aguiar nesse tempo confinado deve ter pegado todas as camareiras do hotel 🗣️ #BBB22,Thu Jan 20 01:17:28 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1481125867929673730/f4CgJi5f_normal.jpg
gbfiga_RJ,RT @Aguiarthur: ELE TÁ VINDO AÍ!!!!! #BBB22 https://t.co/wzNlJPd2re,Thu Jan 20 01:17:12 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1476693261343412228/l_LDwc18_normal.jpg
thaydiaxx,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 01:17:09 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1473416576338694149/WXATIxpO_normal.jpg
itshawz,RT @Aguiarthur: ELE TÁ VINDO AÍ!!!!! #BBB22 https://t.co/wzNlJPd2re,Thu Jan 20 01:17:06 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1356881624378531841/7_zV7PGQ_normal.jpg
bangtidle,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 01:17:06 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1461192363708235778/n2XHrzr2_normal.jpg
annacrf_varella,"RT @tracklist: 🚨 Jade Picon, Arthur Aguiar e Linn da Quebrada entrarão na casa do #BBB22 amanhã às 13h!",Thu Jan 20 01:16:57 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1454637985392209921/zp_bR90V_normal.jpg
i89girl_,"RT @tracklist: 🚨 Jade Picon, Arthur Aguiar e Linn da Quebrada entrarão na casa do #BBB22 amanhã às 13h!",Thu Jan 20 01:16:51 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1478731394440478720/48iqAxHD_normal.jpg
JONASTUITA,RT @Aguiarthur: AMANHÃ É O GRANDE DIA! ✨💛,Thu Jan 20 01:16:43 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1483504259656298497/9oSM-Mrm_normal.jpg
callegarii,RT @Aguiarthur: ELE TÁ VINDO AÍ!!!!! #BBB22 https://t.co/wzNlJPd2re,Thu Jan 20 01:16:40 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1479273847853658113/FAz5Y1LF_normal.jpg
choseane,oh perigo da gente tirar a jade picão e o arthur aguiar nosso entretenimento https://t.co/PuRZbIFU8F,Thu Jan 20 01:16:39 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1474180327593684996/Q0CNcJsv_normal.jpg
isabelatt01,RT @caismila: mayra cardi aproveita que o arthur aguiar foi pro bbb e reage mulher bota um cropped,Thu Jan 20 01:16:35 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1464259040834371589/H0reA3Jw_normal.jpg
lovszouis,"RT @tracklist: Tiago Abravanel falou para os brothers que acha que as pessoas que faltam entrar no #BBB22 são Jade Picon, Linn da Quebrada…",Thu Jan 20 01:16:35 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1435357266006487041/TdhF3Shc_normal.jpg
CaioFreduzeski,@Aguiarthur ADM me segue,Thu Jan 20 01:16:29 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1337242405809106949/KXcdE88j_normal.jpg
xkzaky,"RT @VitinMoraees: @Casimiro Provas de resistência personalizadas:

Luciano: 30 minutos sem punheta
Arthur Aguiar: 2 horas sem trair a mulhe…",Thu Jan 20 01:16:23 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483587013408444422/95Iv1I4w_normal.jpg
nathaan_bss,"RT @tracklist: 🚨 Jade Picon, Arthur Aguiar e Linn da Quebrada entrarão na casa do #BBB22 amanhã às 13h!",Thu Jan 20 01:16:21 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1480202038294327297/g7-7W9am_normal.jpg
yohanpetista,espero amanhã chegar pois essa edição está péssima sem o king @Aguiarthur,Thu Jan 20 01:16:20 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483960996066643972/aLVRpcNR_normal.jpg
Allyyce1,RT @VINIClUX: medo de abrirem a dispensa e o arthur aguiar estar agarrando um dummy,Thu Jan 20 01:16:14 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1308759483791835136/_tDlglhQ_normal.jpg
cewcilya,@Cinlinda123 @Aguiarthur Tá bom querida obrigada❤❤,Thu Jan 20 01:16:13 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1436301753243295748/brsXAr2e_normal.jpg
crissssssx,"🚨 Jade Picon, Arthur Aguiar e Linn da Quebrada entrarão na casa do #BBB22 amanhã às 13h!",Thu Jan 20 01:16:13 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1482429813503803396/w9K_lmJl_normal.jpg
gessiasmine,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 01:16:02 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1476777542090641409/eqLA0m5E_normal.jpg
capricornyana23,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 01:15:54 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1288895093454376960/5f6R_xtD_normal.jpg
rositanaysita,RT @heavning: O kingo Arthur Aguiar na edição  https://t.co/YHbMdnsW0J,Thu Jan 20 01:15:48 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483632754361344006/PyNrW-4Y_normal.jpg
_alyxo_,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 01:15:46 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1432366853129658372/8cRmVULp_normal.jpg
Dasilva05062667,RT @Aguiarthur: ELE TÁ VINDO AÍ!!!!! #BBB22 https://t.co/wzNlJPd2re,Thu Jan 20 01:15:41 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1432484692293455877/B8bISqEC_normal.jpg
gettoyou__,"RT @tracklist: 🚨 Jade Picon, Arthur Aguiar e Linn da Quebrada entrarão na casa do #BBB22 amanhã às 13h!",Thu Jan 20 01:15:37 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1481765476636233733/jS4wmMRe_normal.jpg
vinicin_valente,Último dia sem Jade Picon e Arthur Aguiar. Espero que dure o máximo possível.,Thu Jan 20 01:15:36 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1473735232360792074/9YNJYmuh_normal.jpg
ferluuz,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 01:15:31 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1470580667805220873/LahaQ95N_normal.jpg
chels_nkvaes,Esperando Arthur Aguiar entra no BBB pra vê o povo mete pau nele,Thu Jan 20 01:15:29 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1481315662890942464/gt1QbHQt_normal.jpg
EsloInforms,"RT @eslomarques: Desejando melhoras a @linndaquebrada, @jadepicon e @Aguiarthur ❤️🙏🏻",Thu Jan 20 01:15:24 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483845528483946496/w475Vymc_normal.jpg
Leandrovisk02,"RT @tracklist: Tiago Abravanel falou para os brothers que acha que as pessoas que faltam entrar no #BBB22 são Jade Picon, Linn da Quebrada…",Thu Jan 20 01:15:19 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1409592834022428681/Frz2MHE0_normal.jpg
brunowandrades,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 01:15:18 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483540533389758466/Rm5OBJrm_normal.jpg
brugeszz,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 01:15:07 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1481780840057159684/2CCChgdW_normal.jpg
EstrelaKlauber,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 01:15:02 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1482216957852192768/DkJw_RV2_normal.jpg
gabscyruss,RT @Aguiarthur: AMANHÃ É O GRANDE DIA! ✨💛,Thu Jan 20 01:14:56 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1472502702756220931/d05EvGcZ_normal.jpg
amorimm_noemia,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 01:14:56 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1443483926610251776/VrpDcHoh_normal.jpg
geane_Stay,"RT @tracklist: 🚨 Jade Picon, Arthur Aguiar e Linn da Quebrada entrarão na casa do #BBB22 amanhã às 13h!",Thu Jan 20 01:14:47 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483243909153185793/v0zLwjRu_normal.jpg
jentorresw,"RT @tracklist: Tiago Abravanel falou para os brothers que acha que as pessoas que faltam entrar no #BBB22 são Jade Picon, Linn da Quebrada…",Thu Jan 20 01:14:45 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1473201771455692802/miVh3dqI_normal.jpg
suckerbaby21,"RT @tracklist: Tiago Abravanel falou para os brothers que acha que as pessoas que faltam entrar no #BBB22 são Jade Picon, Linn da Quebrada…",Thu Jan 20 01:14:42 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483229457993326593/WO7HDdxO_normal.jpg
lindaruivo,"RT @tracklist: Tiago Abravanel falou para os brothers que acha que as pessoas que faltam entrar no #BBB22 são Jade Picon, Linn da Quebrada…",Thu Jan 20 01:14:39 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1482039874307997700/6l4Ha_CR_normal.jpg
niic_06,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 01:14:29 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1477786807337209859/3T5iqJ75_normal.jpg
dihpalo,"RT @choquei: Tiago Abravanel acha que Jade Picon, Linn da Quebrada e Arthur Aguiar vai entrar. rs #BBB22",Thu Jan 20 01:14:27 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483597818174529537/VrJ2sb-1_normal.jpg
mcstrokes,"RT @brunorahall: a produção: nossa que barulho eh esse

o arthur aguiar com a psicóloga do bbb de madrugada: https://t.co/cT7msMpB2C",Thu Jan 20 01:14:27 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1352627506600357888/7oNMw8NV_normal.jpg
AlmeidaNiell,"RT @tracklist: 🚨 Jade Picon, Arthur Aguiar e Linn da Quebrada entrarão na casa do #BBB22 amanhã às 13h!",Thu Jan 20 01:14:26 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1483169375104520193/03ldPKXz_normal.jpg
