Tweet,Emojis,SentimentML,Quantidade,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Phrase,Words,Frequency
RT @fabiorbto: impossível não gostar de Arthur aguiar? Edai que ele botou 16 gaia? quem tem que achar ruim é a mulher dele,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['que', 'rt', 'impossível', 'não', 'gostar', 'de', 'arthur', 'aguiar', 'edai', 'ele', 'botou', 'gaia', 'quem', 'tem', 'achar', 'ruim', 'é', 'a', 'mulher', 'dele']","['que', 'rt', 'impossível', 'não', 'gostar', 'de', 'arthur', 'aguiar', 'edai', 'ele', 'botou', 'gaia', 'quem', 'tem', 'achar', 'ruim', 'é', 'a', 'mulher', 'dele']",q,2
RT @marrriacecilia: ainda bem que não entrei nesse bbb pq a primeira cachassa numa festa dessa que eu tomasse já iria direto pro arthur agu…,set(),'alegria',97,[0.6],[0.01],[0.22],[0.0],[0.15],[0.01],[0.0],"['que', 'rt', 'ainda', 'bem', 'não', 'entrei', 'nesse', 'bbb', 'pq', 'a', 'primeira', 'cachassa', 'numa', 'festa', 'dessa', 'eu', 'tomasse', 'já', 'iria', 'direto', 'pro', 'arthur', 'agu']","['que', 'rt', 'ainda', 'bem', 'não', 'entrei', 'nesse', 'bbb', 'pq', 'a', 'primeira', 'cachassa', 'numa', 'festa', 'dessa', 'eu', 'tomasse', 'já', 'iria', 'direto', 'pro', 'arthur', 'agu']",elas,2
@Aguiarthur 🗣️🗣️🗣️ fala tudo sophia me seguir aí adm,{'🗣️'},'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['fala', 'tudo', 'sophia', 'me', 'seguir', 'aí', 'adm']","['fala', 'tudo', 'sophia', 'me', 'seguir', 'aí', 'adm']",claro,2
RT @lukedoamor: O Arthur Aguiar na primeira oportunidade dentro da casa: https://t.co/5e8RlLDRO5,set(),'neutro',97,[0.33],[0.01],[0.48],[0.0],[0.17],[0.01],[0.0],"['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']","['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']",cardiiiiiii,2
@Aguiarthur Que fofinha 🥺🥺🥺🥺,{'🥺'},'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['que', 'fofinha']","['que', 'fofinha']",os,2
@Aguiarthur Vai ser maraaaa https://t.co/V8weeWheSG,set(),'neutro',97,[0.28],[0.01],[0.42],[0.0],[0.29],[0.01],[0.0],"['vai', 'ser', 'maraaaa']","['vai', 'ser', 'maraaaa']",bbb,2
RT @legadaodamassa: MAIS FEMINISTA QUE ARTHUR AGUIAR??????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']","['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']",tudo,2
"RT @cariocaaa33: Douglas simplesmente tirou todos os homens e deixou Arthur Aguiar com 10 mulheres, mais uma prova de resistência pro nosso…",set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'douglas', 'simplesmente', 'tirou', 'todos', 'os', 'homens', 'e', 'deixou', 'arthur', 'aguiar', 'com', 'mulheres', 'mais', 'uma', 'prova', 'de', 'resistência', 'pro', 'nosso']","['rt', 'douglas', 'simplesmente', 'tirou', 'todos', 'os', 'homens', 'e', 'deixou', 'arthur', 'aguiar', 'com', 'mulheres', 'mais', 'uma', 'prova', 'de', 'resistência', 'pro', 'nosso']",comendo,2
@Aguiarthur @whoistainasilva,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],[],[],maria,2
@Aguiarthur QUE AMOOOOOOR,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['que', 'amoooooor']","['que', 'amoooooor']",falou,2
"RT @_alineramos: Arthur Aguiar dançado sentado, coitado. Difícil a vida do fiel. #BBB22",set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'arthur', 'aguiar', 'dançado', 'sentado', 'coitado', 'difícil', 'a', 'vida', 'do', 'fiel']","['rt', 'arthur', 'aguiar', 'dançado', 'sentado', 'coitado', 'difícil', 'a', 'vida', 'do', 'fiel']",sobre,2
